file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
quakeworld__CHTV_4ng3ls-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__11-07-03_trinca-tav-angels_dm3.qwd	self_pov	angels	team/4on4	88650	0.6481	0.6481	0.225	179.92	0.0003	1234.889038	71.788	True
smackdown__z_daltons_2_dm3_luny.qwd	self_pov	luny	team/4on4	88620	0.8077	0.8077	0.33	174.54	0.0002	1241.301025	71.393	True
SmackDown3__game_466_CMF_OC_2_DM3_brutal.qwd	self_pov	brutal	team/4on4	88544	0.7647	0.7554	0.396	179.54	0.0003	1239.302979	71.447	True
quakeworld__CHTV_Orkney-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_oc_vs_cmf_dm3_brutal.qwd	self_pov	brutal	team/4on4	88544	0.7647	0.7554	0.396	179.54	0.0003	1239.302979	71.447	True
quakeworld__CHTV_RST-Brazil_LOW-Brazil_overflow_dm3_QuakeWorld_4v4_1__rst-low-2.qwd	self_pov	rst	team/4on4	88522	0.7511	0.7511	0.396	180.0	0.0007	1241.031982	71.329	True
smackdown__pietro_cmf_dm3.qwd	self_pov	cmf	team/4on4	88491	0.7615	0.7466	0.445	171.92	0.0006	1239.244995	71.407	True
smackdown2__foad_mu_1_dm3_hashie.qwd	self_pov	hashie	team/4on4	88482	0.801	0.801	0.137	167.87	0.0003	1242.874023	71.191	True
quakeworld__CHTV_Campbusters-Spain_FragShack-Ireland_Eta-Beta_dm3_QuakeWorld_4v4__Eta-bETa_[camp]_-_[fs]_4-4_dm3_.qwd	self_pov	fs	team/4on4	88427	0.8395	0.8305	0.571	178.84	0.0006	1219.249023	72.526	True
SmackDown3__game_579_AG_WaP_1_DM3_def.qwd	self_pov	def	team/4on4	88367	0.7972	0.7966	0.467	170.88	0.0002	1237.087036	71.432	True
SmackDown4__game_724_list_ao_2_dm3_darkone.qwd	self_pov	darkone	team/4on4	88339	0.765	0.765	0.555	178.87	0.0003	1231.895996	71.71	True
SmackDown3__game_425_FS_CD_1_DM3_delta.qwd	self_pov	delta	team/4on4	88334	0.7199	0.7199	0.401	178.82	0.0003	1236.937012	71.413	True
